Title,Avg_Ratings,No_Of_Ratings,ImageURL
Harry Potter and the Prisoner of Azkaban (Book 3),5.852803738317757,428,http://images.amazon.com/images/P/0439136350.01.LZZZZZZZ.jpg
Harry Potter and the Goblet of Fire (Book 4),5.8242894056847545,387,http://images.amazon.com/images/P/0439139597.01.LZZZZZZZ.jpg
Harry Potter and the Sorcerer's Stone (Book 1),5.737410071942446,278,http://images.amazon.com/images/P/0590353403.01.LZZZZZZZ.jpg
Harry Potter and the Order of the Phoenix (Book 5),5.501440922190202,347,http://images.amazon.com/images/P/043935806X.01.LZZZZZZZ.jpg
Ender's Game (Ender Wiggins Saga (Paperback)),5.409638554216867,249,http://images.amazon.com/images/P/0312853238.01.LZZZZZZZ.jpg
Harry Potter and the Chamber of Secrets (Book 2),5.183453237410072,556,http://images.amazon.com/images/P/0439064864.01.LZZZZZZZ.jpg
The Hobbit : The Enchanting Prelude to The Lord of the Rings,5.00711743772242,281,http://images.amazon.com/images/P/0345339681.01.LZZZZZZZ.jpg
"The Fellowship of the Ring (The Lord of the Rings, Part 1)",4.948369565217392,368,http://images.amazon.com/images/P/0618002227.01.LZZZZZZZ.jpg
Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),4.895652173913043,575,http://images.amazon.com/images/P/059035342X.01.LZZZZZZZ.jpg
"The Two Towers (The Lord of the Rings, Part 2)",4.880769230769231,260,http://images.amazon.com/images/P/0618002235.01.LZZZZZZZ.jpg
To Kill a Mockingbird,4.7,510,http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg
The Da Vinci Code,4.642538975501114,898,http://images.amazon.com/images/P/0385504209.01.LZZZZZZZ.jpg
The Five People You Meet in Heaven,4.551162790697674,430,http://images.amazon.com/images/P/0786868716.01.LZZZZZZZ.jpg
The Catcher in the Rye,4.5456570155902005,449,http://images.amazon.com/images/P/0316769487.01.LZZZZZZZ.jpg
"The Return of the King (The Lord of the Rings, Part 3)",4.497630331753554,211,http://images.amazon.com/images/P/0345339738.01.LZZZZZZZ.jpg
The Lovely Bones: A Novel,4.468725868725869,1295,http://images.amazon.com/images/P/0316666343.01.LZZZZZZZ.jpg
The Great Gatsby,4.458536585365854,205,http://images.amazon.com/images/P/185326041X.01.LZZZZZZZ.jpg
1984,4.454225352112676,284,http://images.amazon.com/images/P/0451524934.01.LZZZZZZZ.jpg
Prodigal Summer: A Novel,4.450592885375494,253,http://images.amazon.com/images/P/0060959037.01.LZZZZZZZ.jpg
Neverwhere,4.449056603773585,265,http://images.amazon.com/images/P/0380789019.01.LZZZZZZZ.jpg
The Secret Life of Bees,4.447028423772609,774,http://images.amazon.com/images/P/0142001740.01.LZZZZZZZ.jpg
Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,4.3568904593639575,283,http://images.amazon.com/images/P/0060392452.01.LZZZZZZZ.jpg
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",4.354969574036511,493,http://images.amazon.com/images/P/0385484518.01.LZZZZZZZ.jpg
The Red Tent (Bestselling Backlist),4.334716459197787,723,http://images.amazon.com/images/P/0312195516.01.LZZZZZZZ.jpg
Brave New World,4.331858407079646,226,http://images.amazon.com/images/P/0060809833.01.LZZZZZZZ.jpg
